,BTC,MSTR,VIX,DXY,TNX,mnav,premium,premium_sma_7,premium_sma_14,premium_sma_30,premium_mean_90,premium_std_90,premium_zscore,macro_pressure_idx,target
2022-09-11,21769.255859375,26.19700050354004,22.790000915527344,109.0,3.321000099182129,39.446891444011285,-0.33589189047449786,-0.3362921513514171,-0.34327310827194574,-0.30222611164347235,-0.3743641701909294,0.09942675225087245,0.386940927320634,1.9697500705718993,1
2022-09-12,22370.44921875,26.29800033569336,23.8700008392334,108.33000183105469,3.361999988555908,40.96606538095486,-0.35805403591629015,-0.33487439989700846,-0.34639149156846943,-0.3063099338704055,-0.37152956754045935,0.09612380297696535,0.14018933091316013,2.034000039100647,1
2022-09-13,20296.70703125,23.125,27.270000457763672,109.81999969482422,3.421999931335449,35.72586265072928,-0.35270982184308597,-0.3334764920187588,-0.34994743878264717,-0.3103625729307676,-0.3689273603274969,0.09335793068527855,0.1737135599018611,2.219000005722046,1
2022-09-14,20241.08984375,22.599000930786133,26.15999984741211,109.66000366210938,3.4119999408721924,35.58532187399159,-0.3649347612813594,-0.33686790152144935,-0.35170565464597775,-0.3148067928967372,-0.36685895241618294,0.09131650819409624,0.02107166790405114,2.1609999775886535,1
2022-09-15,19701.2109375,21.694000244140625,26.270000457763672,109.73999786376953,3.4590001106262207,34.22108530901481,-0.3660633481304053,-0.346958594624352,-0.35113033087504836,-0.31917593024381247,-0.36496409367731236,0.08950613347623629,-0.012281331014983415,2.178250050544739,1
2022-09-16,19772.583984375,20.634000778198242,26.299999237060547,109.76000213623047,3.447999954223633,34.4014400500011,-0.4001995047821383,-0.3585642112511233,-0.35291735078393777,-0.32415612105509395,-0.3640306594945119,0.08868286099173457,-0.4078448178504005,2.1769999504089355,1
2022-09-17,20127.576171875,20.634000778198242,26.299999237060547,109.76000213623047,3.447999954223633,35.29848069534228,-0.4154422408066716,-0.3704708004620641,-0.3562425352544213,-0.32976147430315134,-0.3626551995711266,0.0868765515451713,-0.6076097669242602,2.1769999504089355,1
2022-09-18,19419.505859375,20.634000778198242,26.299999237060547,109.76000213623047,3.447999954223633,33.5092361078908,-0.38422944910584456,-0.37737616598082785,-0.3568341586661225,-0.3345985617412279,-0.3609165286117087,0.0848144412474369,-0.2748697055743485,2.1769999504089355,1
2022-09-19,19544.12890625,20.6200008392334,25.760000228881836,109.73999786376953,3.490000009536743,33.82414990692513,-0.39037637616986565,-0.3819936431599101,-0.3584340215284593,-0.33915296341471524,-0.35955046769221577,0.08330889504401655,-0.37001941342953715,2.1605000138282775,1
2022-09-20,18890.7890625,19.65999984741211,27.15999984741211,110.22000122070312,3.571000099182129,32.17320541940846,-0.3889325110406242,-0.3871683130452727,-0.36032240253201575,-0.3430637694788428,-0.35819534257470254,0.08179766373126136,-0.37577073798716043,2.250750017166138,1
2022-09-21,18547.400390625,19.591999053955078,27.989999771118164,110.63999938964844,3.509999990463257,31.305486053551707,-0.37416722997238683,-0.38848723714399097,-0.36267756933272016,-0.3454072733961309,-0.3567886520939249,0.08039481231620661,-0.21616541388403257,2.2769999861717225,1
2022-09-22,19413.55078125,19.23200035095215,27.350000381469727,111.3499984741211,3.7079999446868896,33.494188038348966,-0.4258108204046449,-0.39702259032602516,-0.3719905924751886,-0.34908065058928334,-0.35640184597805874,0.0799722526044613,-0.8679132094712829,2.294500005245209,1
